time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
36.95802,-4.88896,0.03830722,5.329494,-5.975928,0.0,0,0.014522208,0.014522208,-0.3909004,0.1401592,0.1401592,-0.4075543,10.275804,28.28848
37.272,-4.106055,1.2282252,3.41892,-4.900932,1.5729908,0,0.02571363,0.02571363,0.03424043,0.01798622,0.01798622,0.01598775,10.357712,28.28848
37.587,0.07661446,2.647987,0.9983822,-7.31668,0.0,0,0.8894518,0.8894518,-0.525464,0.6909372,0.6909372,-0.3936983,10.13312,28.300784
37.896,-4.57053,-4.891354,5.056554,-4.36463,-4.788404,0,0.1412251,0.1412251,0.0170536,0.0,0.0,0.285248,10.06178,28.300784
38.20899,5.602432,1.5705964,6.916848,2.686294,0.938527,0,0.02131701,0.02131701,0.5557076,0.17160184,0.17160184,0.3114946,10.022144,28.30332
38.521,0.01915361,-0.9050082,5.056554,-6.663064,0.07661446,0,0.561836,0.561836,-0.5457152,0.18345936,0.18345936,-0.792193,10.146332,28.31328
38.98499,0.1556231,-2.351106,12.270284,1.0749968,-2.221819,0,0.1790628,0.1790628,-0.3794426,0.2899112,0.2899112,-0.4732373,9.895314,28.281052
39.297,-5.324704,-7.354986,3.878607,-10.955864,0.3303998,0,-1.0823704,-1.0823704,0.16320824,-0.2514073,-0.2514073,0.5820872,9.977226,28.300784
39.611,2.760515,2.681506,1.6807296,3.44765,2.91135,0,-0.2899112,-0.2899112,0.007594182,-0.4088866,-0.4088866,0.0687473,10.31544,28.30332
39.92402,3.696647,0.6344634,0.3064578,3.830723,0.0,0,-1.2084076,-1.2084076,0.8228362,-1.4243756,-1.4243756,0.02065085,10.11991,28.300784
40.237,6.17704,0.04070142,0.7661446,6.253656,0.0,0,0.0943277,0.0943277,-0.5457152,0.00013323122,0.00013323122,-0.5393198,10.302224,28.300784
40.55201,5.056554,1.8602944,1.455675,0.08619126,0.07661446,0,-0.4716385,-0.4716385,0.03424043,0.0767412,0.0767412,0.07261104,10.104056,28.298432
40.86701,2.451662,-9.440336,0.009576806,2.54743,-9.80665,0,0.3097625,0.3097625,0.7250446,0.0,0.0,0.7546216,10.275804,28.283592
41.185,0.20111292,0.8164228,0.009576806,0.6512228,0.04548984,0,0.3241516,0.3241516,0.7365026,0.4775007,0.4775007,0.0387703,10.188608,28.29102
41.64802,2.91135,0.04070142,8.58082,0.5027824,-8.027756,0,0.0341072,0.0341072,0.569164,0.2772543,0.2772543,0.8616064,9.895314,28.26621
41.961,-4.671088,-8.465898,0.6320692,-7.259218,0.04788404,0,-1.090764,-1.090764,0.583153,-1.069847,-1.069847,0.6504348,10.048568,28.29102
42.272,-8.52336,-7.30471,10.254364,-4.594474,-7.31668,0,0.0767412,0.0767412,0.03477336,0.0002664625,0.0002664625,0.01811945,9.99308,28.2959
42.587,-6.727708,-5.363012,5.556942,-7.314286,-6.126762,0,0.4263399,0.4263399,0.5653004,0.01012557,0.01012557,0.4156814,9.964014,28.298432
42.899,-7.31668,-6.121974,5.09486,-9.088388,-5.968745,0,0.01745329,0.01745329,0.2560704,0.01771975,0.01771975,0.12177334,9.964014,28.2959
43.21601,-4.884172,-7.034166,6.14831,-4.750096,-7.354986,0,0.1366952,0.1366952,0.1934517,0.1369617,0.1369617,0.2728576,10.162188,28.3082
43.52999,-7.029376,-6.43322,4.912902,-7.084442,-7.33344,0,0.0011990812,0.0011990812,-0.2712589,0.06848086,0.06848086,-0.2363522,9.837186,28.31074
43.99201,-6.572084,-7.297526,6.129156,-7.3502,-6.995858,0,0.2899112,0.2899112,-0.6137964,0.1449556,0.1449556,0.03783766,9.808124,28.27617
44.30599,0.19871876,0.3112462,6.138734,0.004788404,0.08140286,0,-0.1763982,-0.1763982,0.01931854,-0.2302236,-0.2302236,0.00866003,10.06178,28.29336
44.621,-6.607996,-6.311116,6.256048,-6.648698,-7.335834,0,0.0015987748,0.0015987748,0.1534824,0.07354362,0.07354362,0.0788729,9.850396,28.283592
44.939,-5.793968,0.004788404,5.995082,-6.737284,0.7661446,0,0.1364288,0.1364288,-0.2685942,0.00013323122,0.00013323122,-0.3922328,9.808124,28.29336
45.257,1.154005,5.8227,4.903324,-3.639186,3.766079,0,0.3837061,0.3837061,0.58262,0.07261104,0.07261104,0.00439663,10.06178,28.2959
45.573,9.878476,0.344765,6.129156,0.21787232,0.0,0,2.268128,2.268128,0.0,2.782268,2.782268,0.0,10.1067,28.30332
45.884,0.0,1.989582,-7.31668,0.04548984,1.541866,0,0.01718682,0.01718682,1.093562,-1.071712,-1.071712,0.2976386,10.233524,28.31328
46.20002,0.3280056,4.905718,0.6129156,0.6368576,6.63194,0,0.5649004,0.5649004,0.05129402,0.01931854,0.01931854,0.02264932,9.90853,28.31328
46.665,0.0,1.0726024,1.2665324,7.987058,1.2641384,0,0.03916998,0.03916998,-0.494288,0.3288147,0.3288147,-0.4764349,9.810762,28.29102
46.974,3.184288,3.888184,0.01915361,2.461239,2.796427,0,-0.1897213,-0.1897213,0.277121,0.149219,0.149219,0.0085268,10.11991,28.31562
47.28602,0.3495534,2.087744,6.440402,0.07661446,0.02633622,0,-1.084902,-1.084902,0.3420046,-0.951804,-0.951804,0.001465544,10.090844,28.32305
47.598,0.09576808,2.528277,0.3280056,2.106898,3.093309,0,0.08420216,0.08420216,-0.2363522,0.0015987748,0.0015987748,-0.2198315,10.146332,28.318164
47.915,2.48997,2.614468,1.3838484,0.3232172,1.0749968,0,0.1444227,0.1444227,0.3114946,0.00013323122,0.00013323122,0.2784533,9.86625,28.320708
48.228,2.703054,5.032612,5.650316,2.499546,5.59525,0,-0.954202,-0.954202,0.4094196,-0.7971226,-0.7971226,0.2728576,9.964014,28.32305
48.542,2.930503,0.6248866,1.2282252,2.837129,0.746991,0,0.1536156,0.1536156,-2.168338,0.14189124,0.14189124,-1.738801,9.87946,28.320708
49.00501,4.924872,0.004788404,9.83059,9.8282,-6.110004,0,1.2874132,1.2874132,0.0,1.793292,1.793292,0.0,10.175396,28.2959
49.31202,11.511324,8.58082,0.248997,10.457872,8.599974,0,-2.1580792,-2.1580792,0.025580392,-1.9092036,-1.9092036,0.2856478,10.11991,28.320708
49.62899,2.930503,5.920861,0.07661446,8.037336,5.056554,0,-0.2728576,-0.2728576,0.4266065,-0.5413186,-0.5413186,0.20464316,10.429056,28.318164
49.943,4.903324,0.09576808,1.249773,0.68953,2.837129,0,0.0021317,0.0021317,2.221231,0.9579326,0.9579326,2.901244,10.24674,28.318164
50.26499,1.2641384,0.5363012,3.718195,0.03830722,1.2641384,0,0.0903308,0.0903308,0.6144624,-0.5030812,-0.5030812,0.07407656,9.937594,28.30332
50.579,-3.672705,-7.352594,5.748478,-4.29041,0.17717096,0,-2.855944,-2.855944,1.0915632,-2.71099,-2.71099,1.254505,9.86625,28.300784
50.897,0.1580173,-4.898538,13.56076,0.0,-4.82671,0,-2.450921,-2.450921,2.472773,-3.608434,-3.608434,1.8953472,9.937594,28.30586
51.217,0.1628057,1.235408,5.631162,-2.13084,0.3256114,0,1.9187968,1.9187968,-1.4153152,1.9867448,1.9867448,-1.455951,10.175396,28.28848
51.68202,0.68953,-19.6133,2.030283,0.0,6.311116,0,-4.22716,-4.22716,1.3645548,-2.67102,-2.67102,1.1428572,10.275804,28.27363
52.003,0.2777274,0.7876924,4.97994,0.272939,1.496376,0,0.00013323122,0.00013323122,0.005329252,0.00959265,0.00959265,0.0341072,10.52682,28.29336
52.32099,2.626439,0.723049,9.883264,4.910508,-4.747702,0,1.6771148,1.6771148,0.013323124,0.1374946,0.1374946,-0.5393198,10.627224,28.298432
